id,source_paper,question_text,options,subject,chapter,difficulty,type
JEE_Main_2002_16,JEE_Main_2002.pdf,Initial angular velocity of a circular disc of mass M is w;. Then two small spheres of mass m are attached gently to diametrically opposite points on the edge of the disc. What is the final angular velocity of the disc?,"['(a) (M/(M+4m))ω', '(b) (M/(M+2m))ω', '(c) (m/(m+M))ω', '(d) (2m/(M+2m))ω']",,,,
JEE_Main_2002_17,JEE_Main_2002.pdf,"A solid sphere, a hallow sphere and a ring are released from top of an inclined plane (frictionless) so that they slide down the plane. Then maximum acceleration down the plane is for (no rolling)","['(a) solid sphere', '(b) hollow sphere', '(c) ring', '(d) all same']",,,,
JEE_Main_2002_18,JEE_Main_2002.pdf,Moment of inertia of a circular wire of mass M and radius R about its diameter is,"['(a) MR²/2', '(b) MR²', '(c) 2MR²', '(d) MR²/4']",,,,
JEE_Main_2002_19,JEE_Main_2002.pdf,A particle of mass m moves along line PC with velocity v as shown. What is the angular momentum of the particle about P?,"['(a) mvL', '(b) mvl', '(c) mvr', '(d) zero']",,,,
JEE_Main_2002_20,JEE_Main_2002.pdf,The kinetic energy needed to project a body of mass m from the earth surface (radius R) to infinity is,"['(a) mgR/2', '(b) 2mgR', '(c) mgR', '(d) mgR/4']",,,,
JEE_Main_2002_21,JEE_Main_2002.pdf,"If suddenly the gravitational force of attraction between Earth and a satellite revolving around it becomes zero, then the satellite will","['(a) continue to move in its orbit with same velocity', '(b) move tangentially to the originally orbit in the same velocity', '(c) become stationary in its orbit', '(d) move towards the earth.']",,,,
JEE_Main_2002_22,JEE_Main_2002.pdf,Energy required to move a body of mass m from an orbit of radius 2R to 3R is,"['(a) GMm/12R²', '(b) GMm/3R²', '(c) GMm/8R', '(d) GMm/6R']",,,,
JEE_Main_2002_23,JEE_Main_2002.pdf,The escape velocity of a body depends upon mass as,"['(a) m⁰', '(b) m¹', '(c) m²', '(d) m⁻¹']",,,,
JEE_Main_2002_24,JEE_Main_2002.pdf,A cylinder of height 20 m is completely filled with water. The velocity of efflux of water (in ms⁻¹ ) through a small hole on the side wall of the cylinder near its bottom is,"['(a) 10', '(b) 20', '(c) 20', '(d) 5']",,,,
JEE_Main_2002_25,JEE_Main_2002.pdf,Heat given to a body which raises its temperature by 1°C is,"['(a) water equivalent', '(b) thermal capacity', '(c) specific heat', '(d) temperature gradient']",,,,
JEE_Main_2002_26,JEE_Main_2002.pdf,Which of the following is more closed to a black body?,"['(a) black board paint', '(b) green leaves', '(c) black holes', '(d) red roses']",,,,
JEE_Main_2002_27,JEE_Main_2002.pdf,Two spheres of the same material have radii 1 m and 4 m and temperatures 4000 K and 2000 K respectively. The ratio of the energy radiated per second by the first sphere to that by the second is,"['(a) 1:1', '(b) 16:1', '(c) 4:1', '(d) 5:3']",,,,
JEE_Main_2002_28,JEE_Main_2002.pdf,"If θ₁ is the inversion temperature, θ₂ is the neutral temperature, θ₃ is the temperature of the cold junction, then","['(a) θ₁ = θ₂ + θ₃', '(b) θ₁ + θ₃ = 2θ₂', '(c) θ₂ = θ₁', '(d) θ₁ — θ₃ = 2θ₂']",,,,
JEE_Main_2002_29,JEE_Main_2002.pdf,Which statement is incorrect?,"['(a) all reversible cycles have same efficiency', '(b) reversible cycle has more efficiency than an irreversible one', '(c) Carnot cycle is a reversible one', '(d) Carnot cycle has the maximum efficiency in all cycles']",,,,
JEE_Main_2002_30,JEE_Main_2002.pdf,Even Carnot engine cannot give 100% efficiency because we cannot,"['(a) prevent radiation', '(b) find ideal sources', '(c) reach absolute zero temperature', '(d) eliminate friction']",,,,
JEE_Main_2002_31,JEE_Main_2002.pdf,Cooking gas containers are kept in a lorry moving with uniform speed. The temperature of the gas molecules inside will,"['(a) increase', '(b) decrease', '(c) remain same', '(d) decrease for some, while increase for others']",,,,
JEE_Main_2002_32,JEE_Main_2002.pdf,At what temperature is the r.m.s. velocity of a hydrogen molecule equal to that of an oxygen molecule at 47°C ?,"['(a) 80K', '(b) 73K', '(c) 3K', '(d) 20 K']",,,,
JEE_Main_2002_33,JEE_Main_2002.pdf,"1 mole of a gas with γ = 7/5 is mixed with 1 mole of a gas with γ = 5/3, then the value of γ for the resulting mixture is","['(a) 7/5', '(b) 2/5', '(c) 24/16', '(d) 12/7']",,,,
JEE_Main_2002_34,JEE_Main_2002.pdf,"In a simple harmonic oscillator, at the mean position","['(a) kinetic energy is minimum, potential energy is maximum', '(b) both kinetic and potential energies are maximum', '(c) kinetic energy is maximum, potential energy is minimum', '(d) both kinetic and potential energies are minimum']",,,,
JEE_Main_2002_35,JEE_Main_2002.pdf,"If a spring has time period T, and is cut into n equal parts, then the time period of each part will be","['(a) T/√n', '(b) T/√n', '(c) nT', '(d) T']",,,,
JEE_Main_2002_36,JEE_Main_2002.pdf,"A child swinging on a swing in sitting position, stands up, then the time period of the swing will","['(a) increase', '(b) decrease', '(c) remains same', '(d) increases if the child is tall and decreases if the child is short']",,,,
JEE_Main_2002_37,JEE_Main_2002.pdf,Length of a string tied to two rigid supports is 40 cm. Maximum length (wave length in cm ) of a stationary wave produced on it is,"['(a) 20', '(b) 80', '(c) 40', '(d) 120']",,,,
JEE_Main_2002_38,JEE_Main_2002.pdf,"Tube A has both ends open while tube B has one end closed, otherwise they are identical. The ratio of fundamental frequency of tube A and B is","['(a) 1:2', '(b) 1:4', '(c) 2:1', '(d) 4:1']",,,,
JEE_Main_2002_39,JEE_Main_2002.pdf,A tuning fork arrangement (pair) produces 4 beats / sec with one fork of frequency 288cps. A little wax is placed on the unknown fork and it then produces 2 beats /sec. The frequency of the unknown fork is,"['(a) 286 cps', '(b) 292 cps', '(c) 294 cps', '(d) 288 cps']",,,,
JEE_Main_2002_40,JEE_Main_2002.pdf,A wave y = asin(ωt — kx) ona string meets with another wave producing a node at x = 0. Then the equation of the unknown wave is,"['(a) y = asin(ωt + kx)', '(b) y = -asin(ωt + kx)', '(c) y = asin(ωt — kx)', '(d) y = -asin(ωt — kx)']",,,,
JEE_Main_2002_41,JEE_Main_2002.pdf,"When temperature increases, the frequency of a tuning fork","['(a) increases', '(b) decreases', '(c) remains same', '(d) increases or decreases depending on the material']",,,,
JEE_Main_2002_42,JEE_Main_2002.pdf,"On moving a charge of 20 coulombs by 2 cm, 2 J of work is done, then the potential difference between the points is","['(a) 0.1 V', '(b) 8V', '(c) 2V', '(d) 0.5 V']",,,,
JEE_Main_2002_43,JEE_Main_2002.pdf,A charged particle q is placed at the centre O of cube of length l (ABCD EF GH). Another same charge q is placed at a distance l√3 from O. Then the electric flux through ABCD is,"['(a) q/4πε₀l', '(b) zero', '(c) q/2πε₀l', '(d) q/3πε₀l']",,,,
JEE_Main_2002_44,JEE_Main_2002.pdf,If a charge q is placed at the centre of the line joining two equal charges Q such that the system is in equilibrium then the value of q is,"['(a) Q/2', '(b) -Q/2', '(c) Q/4', '(d) -Q/4']",,,,
JEE_Main_2002_45,JEE_Main_2002.pdf,"If there are n capacitors in parallel connected to V volt source, then the energy stored is equal to","['(a) CV²', '(b) ½nCV²', '(c) CV²', '(d) ½CV²']",,,,
JEE_Main_2002_46,JEE_Main_2002.pdf,Capacitance (in F) of a spherical conductor with radius 1 m is,"['(a) 1.1 x 10⁻¹⁰', '(b) 10⁻⁹', '(c) 9 x 10⁻⁹', '(d) 10⁻³']",,,,
JEE_Main_2002_47,JEE_Main_2002.pdf,"If an ammeter is to be used in place of a voltmeter, then we must connect with the ammeter a","['(a) low resistance in parallel', '(b) high resistance in parallel', '(c) high resistance in series', '(d) low resistance in series']",,,,
JEE_Main_2002_48,JEE_Main_2002.pdf,A wire when connected to 220 V mains supply has power dissipation P₁. Now the wire is cut into two equal pieces which are connected in parallel to the same supply. Power dissipation in this case is P₂ Then P₁ : P₂ is,"['(a) 1', '(b) 4', '(c) 2', '(d) 3']",,,,
JEE_Main_2002_49,JEE_Main_2002.pdf,If a current is passed through a spring then the spring will,"['(a) expand', '(b) compress', '(c) insulator', '(d) none of these']",,,,
JEE_Main_2002_50,JEE_Main_2002.pdf,"By increasing the temperature, the specific resistance of a conductor and a semiconductor","['(a) increases for both', '(b) decreases for both', '(c) increases, decreases', '(d) decreases, increases']",,,,
JEE_Main_2002_51,JEE_Main_2002.pdf,"If in the circuit, power dissipation is 150 W, then R is","['(a) 20', '(b) 62', '(c) 5', '(d) 40']",,,,
JEE_Main_2002_52,JEE_Main_2002.pdf,"If in a circular coil A of radius R, current I is flowing and in another coil B of radius 2R a current 2I is flowing, then the ratio of the magnetic fields Bₐ and Bբ, produced by them will be","['(a) 1', '(b) 2', '(c) 1/2', '(d) 4']",,,,
JEE_Main_2002_53,JEE_Main_2002.pdf,"If an electron and a proton having same momenta enter perpendicular to a magnetic field, then","['(a) curved path of electron and proton will be same (ignoring the sense of revolution)', '(b) they will move undeflected', '(c) curved path of electron is more curved than that of the proton', '(d) path of proton is more curved']",,,,
JEE_Main_2002_54,JEE_Main_2002.pdf,Wires 1 and 2 carrying currents I₁ and I₂ respectively are inclined at an angle θ to each other. What is the force on a small element dl of wire 2 at a distance of r from wire 1 (as shown in the figure) due to the magnetic field of wire 1 ?,"['(a) (μ₀I₁I₂/2πr)dl tan θ', '(b) (μ₀I₁I₂/2πr) dl sin θ', '(c) (μ₀I₁I₂/2πr) dl cos θ', '(d) (μ₀I₁I₂/2πr) dl sin θ']",,,,
JEE_Main_2002_55,JEE_Main_2002.pdf,The time period of a charged particle undergoing a circular motion in a uniform magnetic field is independent of its,"['(a) speed', '(b) mass', '(c) charge', '(d) magnetic induction']",,,,
JEE_Main_2002_56,JEE_Main_2002.pdf,"A conducting square loop of side l and resistance R moves in its plane with a uniform velocity v perpendicular to one of its sides. A magnetic induction B constant in time and space, pointing perpendicular and into the plane at the loop exists everywhere with half the loop outside the field, as shown in figure. The induced emf is","['(a) zero', '(b) RvB', '(c) VBl/R', '(d) VBl']",,,,
JEE_Main_2002_57,JEE_Main_2002.pdf,The inductance between A and D is,"['(a) 3.66 H', '(b) 9H', '(c) 0.66 H', '(d) 1H']",,,,
JEE_Main_2002_58,JEE_Main_2002.pdf,"The mass of product liberated on anode in an electrochemical cell depends on (where t is the time period, for which the current is passed)","['(a) (It)²', '(b) It', '(c) It²', '(d) I²t']",,,,
JEE_Main_2002_59,JEE_Main_2002.pdf,The power factor of an AC circuit having resistance (R) and inductance (L) connected in series and an angular velocity ω is,"['(a) R/ωL', '(b) R/(R² + ω²L²)½', '(c) ωL/R', '(d) R/(R² + ω²L²)½']",,,,
JEE_Main_2002_60,JEE_Main_2002.pdf,"In a transformer, number of turns in the primary coil are 140 and that in the secondary coil are 280. If current in primary coil is 4 A, then that in the secondary coil is","['(a) 4A', '(b) 2A', '(c) 6A', '(d) 10A']",,,,
JEE_Main_2002_61,JEE_Main_2002.pdf,Electromagnetic waves are transverse in nature is evident by,"['(a) polarization', '(b) interference', '(c) reflection', '(d) diffraction']",,,,
JEE_Main_2002_62,JEE_Main_2002.pdf,Infra red radiation is detected by,"['(a) spectrometer', '(b) pyrometer', '(c) nanometer', '(d) photometer']",,,,
JEE_Main_2002_63,JEE_Main_2002.pdf,Which of the following are not electromagnetic waves?,"['(a) cosmic rays', '(b) gamma rays', '(c) β-rays', '(d) X- rays']",,,,
JEE_Main_2002_64,JEE_Main_2002.pdf,An astronomical telescope has a large aperture to,"['(a) reduce spherical aberration', '(b) have high resolution', '(c) increase span of observation', '(d) have low dispersion']",,,,
JEE_Main_2002_65,JEE_Main_2002.pdf,"If two mirrors are kept at 60° to each other, then the number of images formed by them is","['(a) 5', '(b) 6', '(c) 7', '(d) 8']",,,,
JEE_Main_2002_66,JEE_Main_2002.pdf,Which of the following is used in optical fibres ?,"['(a) total internal reflection', '(b) scattering', '(c) diffraction', '(d) refraction']",,,,
JEE_Main_2002_67,JEE_Main_2002.pdf,"Wavelength of light used in an optical instrument are λ₁ = 4000Å and λ₂ = 5000Å, then ratio of their respective resolving powers (corresponding to λ₁ and λ₂) is","['(a) 16:25', '(b) 9:1', '(c) 4:5', '(d) 5:4']",,,,
JEE_Main_2002_68,JEE_Main_2002.pdf,Sodium and copper have work functions 2.3eV and 4.5eV respectively. Then the ratio of the wave lengths is nearest to,"['(a) 1:2', '(b) 4:1', '(c) 2:1', '(d) 1:4']",,,,
JEE_Main_2002_69,JEE_Main_2002.pdf,Formation of covalent bonds in compounds exhibits,"['(a) wave nature of electron', '(b) particle nature of electron', '(c) both wave and particle nature of electron', '(d) none of these']",,,,
JEE_Main_2002_70,JEE_Main_2002.pdf,"If 13.6eV energy is required to ionize the hydrogen atom, then the energy required to remove an electron from n=2 is","['(a) 10.2eV', '(b) 0eV', '(c) 3.4eV', '(d) 6.8eV']",,,,
JEE_Main_2002_71,JEE_Main_2002.pdf,At a specific instant emission of radioactive compound is deflected in a magnetic field. The compound can emit (i) electrons (ii) protons (iii) He²⁺ (iv) neutrons The emission at instant can be,"['(a) i, ii, iii', '(b) i, ii, iii, iv', '(c) iv', '(d) ii, iii']",,,,
JEE_Main_2002_72,JEE_Main_2002.pdf,"If N₀ is the original mass of the substance of half- life period t₁₂ = 5 years, then the amount of substance left after 15 years is","['(a) N₀/8', '(b) N₀/16', '(c) N₀/2', '(d) N₀/4']",,,,
JEE_Main_2002_73,JEE_Main_2002.pdf,"If mass-energy equivalence is taken into account, when water is cooled to form ice, the mass of water should","['(a) increase', '(b) remain unchanged', '(c) decrease', '(d) first increase then decrease']",,,,
JEE_Main_2002_74,JEE_Main_2002.pdf,"At absolute zero, Si acts as","['(a) non metal', '(b) metal', '(c) insulator', '(d) none of these']",,,,
JEE_Main_2002_75,JEE_Main_2002.pdf,The energy band gap is maximum in,"['(a) metals', '(b) superconductors', '(c) insulators', '(d) semiconductors']",,,,
JEE_Main_2002_76,JEE_Main_2002.pdf,The part of a transistor which is most heavily doped to produce large number of majority carriers is,"['(a) emitter', '(b) base', '(c) collector', '(d) can be any of the above three']",,,,
JEE_Main_2002_77,JEE_Main_2002.pdf,"In a compound C, H and N atoms are present in 9: 1 : 35 by weight. Molecular weight of compound is 108. Molecular formula of compound is","['(a) C₆H₁₆N₂', '(b) C₅H₄N', '(c) C₆H₈N₂', '(d) C₆H₁₂N₃']",,,,
JEE_Main_2002_78,JEE_Main_2002.pdf,Number of atoms in 558.5 gram Fe (at-wt. of Fe = 55.85 g mol⁻¹ ) is,"['(a) twice that in 60 g carbon', '(b) 6.023 x 10²³', '(c) half that in 8g He', '(d) 558.5 x 6.023 x 10²³']",,,,
JEE_Main_2002_79,JEE_Main_2002.pdf,"In a hydrogen atom, if energy of an electron in ground state is 13.6 eV, then that in the 2nd excited state is","['(a) 1.51 eV', '(b) 3.4eV', '(c) 6.04 eV', '(d) 13.6 eV']",,,,
JEE_Main_2002_80,JEE_Main_2002.pdf,Uncertainity in position of a minute particle of mass 25 g in space is 10⁻⁵ m. What is the uncertainity in its velocity (in ms⁻¹)? (h = 6.6 x 10⁻³⁴Js),"['(a) 2.1 x 10⁻²⁸', '(b) 0.5 x 10⁻²⁸', '(c) 2.1 x 10⁻³⁰', '(d) 0.5 x 10⁻³⁰']",,,,
JEE_Main_2002_81,JEE_Main_2002.pdf,α- particle is emitted in radioactivity by,"['(a) conversion of proton to neutron', '(b) from outermost orbit', '(c) conversion of neutron to proton', '(d) α-particle is not emitted']",,,,
JEE_Main_2002_82,JEE_Main_2002.pdf,In which of the folloiwng species the interatomic bond angle is 109°28'?,"['(a) NH₃, (BF₄)⁻', '(b) (NH₄)⁺, BF₃', '(c) NH₃, BF₃', '(d) (NH₂)⁻, BF₃']",,,,
JEE_Main_2002_83,JEE_Main_2002.pdf,Which of the following are arranged in an increasing order of their bond strengths ?,"['(a) OF⁻ < O₂ < OF < OF⁺', '(b) OF⁻ < OF < O₂ < OF⁺', '(c) OF⁻ < O₂ < OF < OF⁺', '(d) OF⁻ < O₂ < OF < OF⁺']",,,,
JEE_Main_2002_84,JEE_Main_2002.pdf,Which of the following statements is true ?,"['(a) HF is less polar than HBr', '(b) absolutely pure water does not contain any ions', '(c) chemical bond formation take place when forces of attraction overcome the forces of repulsion', '(d) in covalency transference of electron takes place']",,,,
JEE_Main_2002_85,JEE_Main_2002.pdf,"For an ideal gas, number of moles per litre in terms of its pressure P, gas contant R and temperature T is","['(a) PT/R', '(b) PRT', '(c) P/RT', '(d) RT/P']",,,,
JEE_Main_2002_86,JEE_Main_2002.pdf,Value of gas constant R is,"['(a) 0.082 litre atm mol⁻¹ K⁻¹', '(b) 0.987cal mol⁻¹ K⁻¹', '(c) 8.3 J mol⁻¹ K⁻¹', '(d) 83 erg mol⁻¹ K⁻¹']",,,,
JEE_Main_2002_87,JEE_Main_2002.pdf,Kinetic theory of gases proves,"['(a) only Boyle’s law', '(b) only Charles’ law', '(c) only Avogadro’s law', '(d) all of these']",,,,
JEE_Main_2002_88,JEE_Main_2002.pdf,"If an endothermic reaction is non- spontaneous at freezing point of water and becomes feasible at its boiling point, then","['(a) ΔH is - ve, ΔS is + ve', '(b) ΔH and ΔS both are + ve', '(c) ΔH and ΔS both are — ve', '(d) ΔH is + ve, ΔS is —ve']",,,,
JEE_Main_2002_89,JEE_Main_2002.pdf,A heat engine absorbs heat Q₁ at temperature T₁ and heat Q₂ at temperature T₂. Work done by the engine is J(Q₁ + Q₂). This data,"['(a) violates 1st law of thermodynamics', '(b) violates 1st law of thermodynamics if Q₁ is —ve', '(c) violates 1st law of thermodynamics if Q₂ is — ve', '(d) does not violate 1st law of thermodynamics']",,,,
JEE_Main_2002_90,JEE_Main_2002.pdf,The heat required to raise the temperature of body by 1 K is called,"['(a) specific heat', '(b) thermal capacity', '(c) water equivalent', '(d) none of these']",,,,
JEE_Main_2002_91,JEE_Main_2002.pdf,Change in volume of the system does not alter the number of moles in which of the following equilibria ?,"['(a) N₂(g) + O₂( g) = 2NO(g)', '(b) PCl₅( g) = PCl₃( g) + Cl₂(g)', '(c) N₂( g) + 3H₂( g) = 2NH₃( g)', '(d) SO₂Cl₂( g) = SO₂( g) + Cl₂( g)']",,,,
JEE_Main_2002_92,JEE_Main_2002.pdf,"In which of the following reactions, increase in the volume at constant temperature does not affect the number of moles at equilibrium","['(a) 2NH₃ > N₂ + 3H₂', '(b) C(g) + (1/2)O₂( g) + CO(g)', '(c) H₂( g) + O₂( g) — H₂O₂( g)', '(d) none of these']",,,,
JEE_Main_2002_93,JEE_Main_2002.pdf,"For the reaction CO(g) + (1/2)O₂( g) = CO₂( g), Kp /Kc is","['(a) RT', '(b) (RT)½', '(c) (RT)⁻¹', '(d) (RT)⁻½']",,,,
JEE_Main_2002_94,JEE_Main_2002.pdf,1M NaCl and 1 M HCl are present in an aqueous solution. The solution is,"['(a) not a buffer solution with pH <7', '(b) not a buffer solution with pH > 7', '(c) a buffer solution with pH <7', '(d) a buffer solution with pH > 7']",,,,
JEE_Main_2002_95,JEE_Main_2002.pdf,Species acting as both Bronsted acid and base is,"['(a) (HSO₄)⁻', '(b) Na₂CO₃', '(c) NH₃', '(d) OH⁻']",,,,
JEE_Main_2002_96,JEE_Main_2002.pdf,Let the solubility of an aqueous solution of Mg(OH)₂ be s then its Ksp is,"['(a) 4s³', '(b) 108s⁵', '(c) 27s⁴', '(d) 9s²']",,,,
JEE_Main_2002_97,JEE_Main_2002.pdf,The solubility of Mg(OH)₂ is S moles/litre. The solubility product under the same condition is,"['(a) 4S³', '(b) 3S⁴', '(c) 4S²', '(d) S²']",,,,
JEE_Main_2002_98,JEE_Main_2002.pdf,How do we differentiate between Fe²⁺ and Cr³⁺ in group II?,"['(a) by taking excess of NH₄OH solution', '(b) by increasing NH₄⁺ ion concentration', '(c) by decreasing OH⁻ ion concentration', '(d) both (b) and (c)']",,,,
JEE_Main_2002_99,JEE_Main_2002.pdf,"For the reactions, C + O₂ —> CO₂; ΔH = —393 J 2Zn + O₂ —> 2ZnO; ΔH = —412 J","['(a) carbon can oxidise Zn', '(b) oxidation of carbon is not feasible', '(c) oxidation of Zn is not feasible', '(d) Zn can oxidise carbon']",,,,
JEE_Main_2002_100,JEE_Main_2002.pdf,Which of the following is a redox reaction ?,"['(a) NaCl + KNO₃ — NaNO₃ + KCl', '(b) CaC₂O₄ + 2HCl > CaCl₂ + H₂C₂O₄', '(c) Mg(OH)₂ + 2NH₄Cl > MgCl₂ + 2NH₄OH', '(d) Zn + 2AgCN — 2Ag + Zn(CN)₂']",,,,
JEE_Main_2002_101,JEE_Main_2002.pdf,KO₂ (potassium super oxide) is used in oxygen cylinders in space and submarines because it,"['(a) absorbs CO₂ and increases O₂ content', '(b) eliminates moisture', '(c) absorbs CO₂', '(d) produces ozone.']",,,,
JEE_Main_2002_102,JEE_Main_2002.pdf,A metal M readily forms its sulphate MSO₄ which is water - soluble. It forms its oxide MO which becomes inert on heating. It forms an insoluble hydroxide M(OH)₂ which is soluble in NaOH solution. Then M is,"['(a) Mg', '(b) Ba', '(c) Ca', '(d) Be']",,,,
JEE_Main_2002_103,JEE_Main_2002.pdf,Alum helps in purifying water by,"['(a) forming Si complex with clay particles', '(b) sulphate part which combines with the dirt and removes it', '(c) coagulating the mud particles', '(d) making mud water soluble']",,,,
JEE_Main_2002_104,JEE_Main_2002.pdf,"Arrangement of (CH₃)₃ — C—, (CH₃)₂ — CH—, CH₃ — CH₂— when attached to benzyl or an unsaturated group in increasing order of inductive effect is","['(a) (CH₃)₃ —C— < (CH₃)₂ — CH— < CH₃ — CH₂—', '(b) CH₃ — CH₂— < (CH₃)₂— CH— < (CH₃)₃ —C—', '(c) CH₃ — CH₂— < (CH₃)₂ — CH— < (CH₃)₃ —C—', '(d) CH₃ — CH₂— < (CH₃)₂ — CH— < (CH₃)₃ —C—']",,,,
JEE_Main_2002_105,JEE_Main_2002.pdf,A similarity between optical and geometrical isomerism is that,"['(a) each forms equal number of isomers for a given compound', '(b) If in a compound one is present then so is the other', '(c) both are included in stereoisomerism', '(d) they have no similarity']",,,,
JEE_Main_2002_106,JEE_Main_2002.pdf,Which of the following does not show geometrical isomerism?,"['(a) 1, 2-dichloro - 1- pentene', '(b) 1,3 - dichloro - 2- pentene', '(c) 1, 1- dichloro - 1- pentene', '(d) 1, 4 - dichloro - 2- pentene']",,,,
JEE_Main_2002_107,JEE_Main_2002.pdf,Which of the following compounds has wrong IUPAC name ?,"['(a) CH₃ -CH₂ -CH₂ -COO-CH₂CH₃ —— ethyl butanoate', '(b) CH₃ CH —CH₂ —CHO——>3-methyl—butanal', '(c) CH₃ -CH-CH- CH₃ ——>2 - methyl —3—butanol', '(d) CH₃ -CH-C—CH₂ —CH₃ ——>2—methyl—3 —pentanone']",,,,
JEE_Main_2002_108,JEE_Main_2002.pdf,Which of these will not react with acetylene ?,"['(a) NaOH', '(b) ammonical AgNO₃', '(c) Na', '(d) HCl']",,,,
JEE_Main_2002_109,JEE_Main_2002.pdf,In which of the following species is the underlined carbon having sp² hybridisation?,"['(a) CH₃COOH', '(b) CH₃CH₂OH', '(c) CH₃COCH₃', '(d) CH₂ = CH - CH₃']",,,,
JEE_Main_2002_110,JEE_Main_2002.pdf,Racemic mixture is formed by mixing two,"['(a) isomeric compounds', '(b) chiral compounds', '(c) meso compounds', '(d) optical isomers']",,,,
JEE_Main_2002_111,JEE_Main_2002.pdf,"Na and Mg crystallize in BCC and FCC type crystals respectively, then the number of atoms of Na and Mg present in the unit cell of their respective crystal is","['(a) 4 and 2', '(b) 9 and 14', '(c) 14 and 9', '(d) 2 and 4']",,,,
JEE_Main_2002_112,JEE_Main_2002.pdf,"Freezing point of an aqueous solution is (—0.186)°C. Elevation of boiling point of the same solution is Kբ = 0.512°C, Kf = 1.86°C, find the increase in boiling point.","['(a) 0.186°C', '(b) 0.0512°C', '(c) 0.092°C', '(d) 0.2372°C']",,,,
